wavelength,valueA,valueB,valueC,valueD
458.896,866.34,5145.88,19057.2,927.13
459.251,864.01,5026.75,19679.18,932.88
459.607,861.4,4909,20312.4,937.39
459.963,859.24,4808.08,20972.36,936.83
460.318,858.42,4706.6,21625.88,938.64
460.674,856.06,4595.56,22279.42,941.76
461.029,850.74,4497.52,22945.45,944.8
461.385,846.73,4405.89,23661.06,949.68
461.74,844.54,4312.53,24350.04,952.37
462.096,840.86,4232.58,25139.73,952.1
462.451,841.5,4163.65,25948.5,952.32
462.806,834.46,4081.98,26761.64,955.9
463.162,830.07,4015.17,27646.12,955.94
463.517,827.38,3961.37,28640.38,956.89
463.872,823.23,3892.17,29564.93,964.95
464.227,818.97,3825.18,30460.62,972.16
464.582,814.31,3765.98,31351.01,975.52
464.937,811.36,3706.14,32353.01,980.02
465.292,808.29,3645.41,33399.65,980.08
465.647,805.6,3587.1,34408.32,983.22
466.002,803.08,3529.5,35373.4,988.47
466.357,797.35,3475.77,36501.22,993.34
466.712,796.22,3430.47,37662.63,996.72
467.067,793.48,3384.64,38751.83,1003.12
467.422,787.64,3330.69,39863.85,1009.39
467.776,785.21,3289.3,41019.32,1011.02
468.131,781.55,3253.75,42312.19,1012.56
468.486,779.14,3213.13,43644.01,1016.43
468.84,774.26,3176.3,44968.76,1019.07
469.195,771.93,3140.71,46218.85,1025.58
469.549,767.09,3112.9,47624.67,1029.91
469.904,762.77,3082.89,49045.5,1035.23
470.258,761,3043.95,50275.36,1040.15
470.613,758.33,3009.09,51427.96,1043.01
470.967,754.82,2980.93,52855.49,1044.45
471.322,752.02,2955.33,54076.72,1047.98
471.676,749.09,2927.55,55290.61,1054.27
472.03,745.16,2895.56,56299.61,1059.37
472.384,744.01,2869.63,57317.28,1062.19
472.739,741.94,2832.82,58025.65,1067.75
473.093,738.58,2793.64,58780.74,1072.36
473.447,734.39,2751.6,59463.69,1079.51
473.801,732.63,2706.32,59824.33,1084.32
474.155,729.43,2664.46,60132.37,1088.03
474.509,727.02,2613.91,60224.43,1092.99
474.863,725.85,2561.92,60161.28,1099.92
475.217,722.92,2512.25,60116.55,1103.19
475.571,719.06,2468.76,60117.7,1107.16
475.925,715.97,2425.89,59877.05,1110.73
476.278,713.14,2383.83,59454.32,1118.08
476.632,710.65,2345.46,59018.01,1125.85
476.986,707.01,2310.93,58416.5,1132.62
477.34,707.65,2276.66,57504.4,1138.69
477.693,705.44,2250.34,56611.95,1141.91
478.047,703.43,2229.81,55621.82,1146.88
478.4,702.22,2213.62,54642.44,1153.76
478.754,699.59,2197.14,53339.48,1159.08
479.107,699.99,2183.17,51998.6,1164.55
479.461,697.01,2164.5,50282.97,1169.21
479.814,695.09,2143.25,48710.37,1175.43
480.168,693.22,2129.06,47136.34,1180.44
480.521,691.3,2117.15,45499.09,1183.15
480.874,689.93,2105.67,43771.08,1187.83
481.228,686.73,2096.1,42065.28,1192.66
481.581,685.54,2087.34,40444.53,1201.87
481.934,683.93,2074.98,38838.51,1210.25
482.287,679.03,2063.9,37323.94,1216.05
482.64,673.53,2055.28,35940.93,1222.63
482.993,670.29,2044.55,34391.81,1231.46
483.346,668.92,2032.08,33057.5,1239.62
483.699,665.94,2024.05,31766.62,1246.2
484.052,662.92,2013.2,30492.55,1252.31
484.405,660.38,2004.97,29395,1259.81
484.758,659.13,1993.65,28316.28,1270.05
485.111,656.52,1983.12,27401.74,1280.4
485.463,654.18,1971.4,26515.7,1288.12
485.816,650.5,1962.91,25694.81,1300.3
486.169,651.87,1952.29,24868.98,1310.25
486.521,651.38,1942.83,24080.2,1322.9
486.874,650.3,1931.55,23412.07,1335.65
487.227,649.99,1919.97,22735.59,1346.62
487.579,647.61,1911.87,22147.6,1357.76
487.932,644.98,1899.91,21544.72,1370.4
488.284,644.03,1891.68,20983.31,1384.94
488.636,642.95,1883.01,20496.78,1397.37
488.989,643.97,1873.9,19978.08,1409.48
489.341,642.31,1865.25,19509.3,1426.25
489.693,641.74,1857.3,19047.2,1441.92
490.046,638.43,1848.43,18578.17,1457.23
490.398,637.66,1835.63,18116.6,1470.76
490.75,634.63,1826.19,17703.89,1487.31
491.102,632.23,1821.18,17351.23,1506.48
491.454,628.96,1814.03,16995.09,1527.4
491.806,627.95,1804.7,16617.02,1548.1
492.158,626.36,1795.25,16217.02,1567.74
492.51,622.98,1786.36,15834.66,1587.07
492.862,619.74,1777.95,15508.35,1608.36
493.214,616.12,1767.1,15143.15,1627
493.566,612.3,1756.53,14780.89,1643.24
493.918,608.62,1747.37,14434.71,1665.97
494.269,606.41,1737.31,14102.44,1688.48
494.621,605.29,1727.18,13792.13,1708.78
494.973,602.42,1719.57,13494.89,1730.43
495.324,604.8,1708.27,13205.03,1756.77
495.676,603.08,1702.16,12990.44,1785.66
496.028,599.44,1692.74,12781.52,1816.68
496.379,599.97,1686.25,12595.07,1849.56
496.731,596.57,1680.91,12400.56,1882.57
497.082,595.8,1669.66,12214.24,1916.37
497.433,595.18,1662.04,12037.03,1955.52
497.785,593.66,1653.79,11848.65,1995.99
498.136,591.38,1648.52,11655.32,2037.29
498.487,592,1639.54,11461.93,2081.45
498.839,590.81,1628.57,11244.94,2127.32
499.19,588.27,1621.31,11035.2,2172.05
499.541,587.79,1609.26,10792.95,2214.3
499.892,589.29,1601.74,10551.99,2258.83
500.243,588.65,1593.22,10231.77,2307.84
500.594,587.72,1583.18,9821,2362.52
500.945,585.87,1583.75,9357.51,2418.59
501.296,582.85,1576.47,8846.07,2477.81
501.647,581.72,1570.47,8317.84,2535.01
501.998,582.25,1563.56,7781.93,2603.23
502.349,578.85,1560.45,7228.48,2666.21
502.7,579.14,1553.3,6677.13,2737.04
503.05,576.93,1543.31,6115.91,2806.28
503.401,576.31,1537.04,5574.24,2886.2
